Park Name,Latitude,Longitude
"White Sands National Park, NM, the US",32.779720,-106.171669
"Joshua Tree National Park, California, USA",33.881866,-115.900650
"Hot Springs National Park, Hot Springs, AR, USA",34.521530,-93.042267
"Channel Islands National Park, Ventura, CA, USA",33.998028,-119.772949
"Acadia National Park, Maine, USA",44.338974,-68.273430
"Kaloko-Honokōhau National Historical Park, Kailua-Kona, HI, USA",19.678328,-156.020477
"Mesa Verde National Park, Mesa Verde, CO, USA",37.230873,-108.461838
"Arches National Park, Utah, USA",38.733082,-109.592514
"Mount Rainier National Park, Washington, USA",46.879967,-121.726906
"Kenai Fjords National Park, Alaska, USA",60.043777,-149.816360
"Yellowstone National Park, WY, USA",44.427895,-110.588379
"Great Smoky Mountains National Park, Tennessee, USA",35.611763,-83.489548
"Zion National Park, Utah, USA",37.317207,-113.022537
"Yosemite National Park, California, USA",37.865101,-119.538330
"Yellowstone National Park, Wyoming, USA",44.429764,-110.584663
"Haleakalā National Park, Hawaii, USA",20.701283,-156.173325
"Kings Canyon National Park, California, USA",36.887856,-118.555145
"Yellowstone National Park, WY, USA",44.427284,-110.584389
"Cades Cove, Great Smoky Mountains National Park, Tennessee, USA",35.593670,-83.824997
"Kennesaw Mountain National Battlefield Park, Cobb County, Georgia, USA",33.976376,-84.579163
"Shenandoah National Park, Shenandoah, VA, USA",38.700516,-78.292694
"Everglades National Park, Florida, USA",25.286615,-80.898651
"Redwood National Park, CA, USA",41.213181,-124.004631
"Yellowstone National Park, USA",44.423691,-110.588516
